epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.2255,2.0488,3.08422,1.64836,0.18266,0.12222,0.07177,0.02896,2.07811,2.96743,1.77436,0.000659341,0.000659341,0.000659341
2,42.6612,2.05376,2.61165,1.64454,0.25053,0.2679,0.16387,0.06105,2.19867,7.39183,2.04032,0.00130834,0.00130834,0.00130834
3,58.6461,2.05728,2.48272,1.68036,0.29381,0.30988,0.21179,0.08533,2.12929,3.26805,1.89069,0.00193959,0.00193959,0.00193959
4,74.3889,2.02256,2.49451,1.68297,0.24036,0.32593,0.16021,0.0621,2.13362,3.91043,1.87176,0.00192008,0.00192008,0.00192008
5,90.1871,2.01792,2.46743,1.68591,0.34209,0.32346,0.23071,0.08075,2.06693,2.77395,1.79318,0.00189344,0.00189344,0.00189344
6,105.92,1.96036,2.31199,1.64314,0.309,0.35556,0.2557,0.1084,2.09222,3.52106,1.8079,0.0018668,0.0018668,0.0018668
7,121.851,1.96344,2.36032,1.67117,0.3947,0.34691,0.27778,0.11927,2.0209,2.90394,1.80445,0.00184016,0.00184016,0.00184016
8,138.377,1.88614,2.27794,1.65868,0.37839,0.39877,0.2848,0.12394,2.04165,2.6942,1.85222,0.00181352,0.00181352,0.00181352
9,157.504,1.8857,2.22746,1.60835,0.30315,0.34938,0.20884,0.09641,1.95154,2.5203,1.71169,0.00178688,0.00178688,0.00178688
10,173.879,1.85141,2.24714,1.61507,0.41657,0.40019,0.35033,0.16797,1.93305,2.37084,1.68126,0.00176024,0.00176024,0.00176024
11,190.454,1.8187,2.18091,1.58602,0.37078,0.43649,0.33606,0.16791,1.90333,2.30626,1.67466,0.0017336,0.0017336,0.0017336
12,206.424,1.85116,2.23031,1.61009,0.39671,0.32593,0.29175,0.15813,1.92332,2.46043,1.69108,0.00170696,0.00170696,0.00170696
13,222.625,1.78635,2.22183,1.53447,0.42858,0.45802,0.38115,0.18734,1.87489,2.83531,1.64969,0.00168032,0.00168032,0.00168032
14,238.797,1.8001,2.1402,1.54817,0.40781,0.35792,0.3344,0.17077,1.86519,2.49053,1.63814,0.00165368,0.00165368,0.00165368
15,255.158,1.828,2.17444,1.5793,0.43917,0.38642,0.34161,0.15626,1.90919,2.32808,1.7117,0.00162704,0.00162704,0.00162704
16,271.5,1.72502,2.09622,1.52363,0.39321,0.39361,0.32333,0.16323,1.8695,2.20914,1.66308,0.0016004,0.0016004,0.0016004
17,287.494,1.70033,2.05023,1.50983,0.40722,0.39098,0.34223,0.18003,1.92836,2.34344,1.71068,0.00157376,0.00157376,0.00157376
18,305.017,1.738,2.05314,1.50831,0.34275,0.45556,0.28252,0.12841,1.82175,3.01035,1.64256,0.00154712,0.00154712,0.00154712
19,320.749,1.7204,2.02718,1.50996,0.39236,0.45185,0.35335,0.17483,1.8066,2.24158,1.64904,0.00152048,0.00152048,0.00152048
20,336.782,1.73546,2.04232,1.50393,0.45778,0.47217,0.39179,0.20165,1.78501,2.2585,1.6318,0.00149384,0.00149384,0.00149384
